0.6,0.6,0.6,0.6,0.6
0.84,0.84,0.83,0.83,0.83
0.85,0.85,0.85,0.85,0.85
0.88,0.87,0.87,0.87,0.87
0.88,0.88,0.88,0.88,0.88
